Step,Loss
0,0.2108684927225113
1,0.21626867353916168
2,0.23737913370132446
3,0.18989603221416473
4,0.2234642505645752
5,0.22167812287807465
6,0.21352462470531464
7,0.20856277644634247
8,0.2348259538412094
9,0.20091159641742706
10,0.21451936662197113
11,0.2643354833126068
12,0.20442044734954834
13,0.22730319201946259
14,0.2415461540222168
